data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8048133,508,MZM2192,2192,"28 May 2021",2021,2,"Violence against civilians",Attack,"Police Forces of Mozambique (1990-)",,1,"Civilians (Mozambique)","Prisoners (Mozambique)",7,17,"Eastern Africa",Mozambique,"Maputo City",Maputo,Maputo,Maputo,-25.9655,32.5832,1,"Club Mozambique; O Pais",National-Regional,"Around 28 May 2021 (as reported), police officers in Maputo assaulted a civilian after the man tried to help some people who were being looted by the officers. The man was taken to the police station and was beaten again by seven policemen. The officers were suspended.",0,1622493898,MOZ
8048132,508,MZM2191,2191,"24 May 2021",2021,1,Protests,"Peaceful protest","Protesters (Mozambique)","Labour Group (Mozambique)",6,,,0,60,"Eastern Africa",Mozambique,"Maputo City",Maputo,Maputo,Maputo,-25.9655,32.5832,1,"O Pais; Club Mozambique; Twitter","New media-National","On 24 May 2021, dozens of vendors gathered at Costa do Sol beach in Maputo (Maputo, Maputo City), demanding action by the Maputo City Council, which promised to build a market near the beach for the vendors. [size=dozens]",0,1622493898,MOZ
8048131,508,MZM2189,2189,"23 May 2021",2021,1,Protests,"Protest with intervention","Protesters (Mozambique)",,6,"Police Forces of Mozambique (1990-)",,1,16,"Eastern Africa",Mozambique,"Maputo City",Maputo,Maputo,Maputo,-25.9655,32.5832,1,"VOA; Twitter; O Pais","New media-Regional","On 23 May 2021, a group of people in Maputo (Maputo, Maputo City) gathered in demonstration against acts of terrorism in Cabo Delgado and in support and solidarity with the Palestinian people, as well as demonstrating against other atrocities around the world. Police officers tried to disperse the demonstrators. [size=no report]",0,1622493898,MOZ
8048333,508,MZM2190,2190,"23 May 2021",2021,1,"Strategic developments","Looting/property destruction","Islamist Militia (Mozambique)",,3,"Civilians (Mozambique)","Fishermen (Mozambique)",7,37,"Eastern Africa",Mozambique,"Cabo Delgado",Macomia,Mucojo,Pangane,-11.9986,40.538,2,"Cabo Ligado","Local partner-Other","Looting: On 23 May 2021, members of an Islamist militia in Ntoni near Pangane (Macomia, Cabo Delgado) surprised six fishermen and looted the group's catch and their money, before allowing them to escape. The fishermen then fled to Pangane.",0,1622493899,MOZ
8048128,508,MZM2181,2181,"22 May 2021",2021,1,Battles,"Armed clash","Islamist Militia (Mozambique)",,3,"Military Forces of Mozambique (1990-)",,1,13,"Eastern Africa",Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,Diaca,-11.5381,39.9353,1,"Cabo Ligado; Club Mozambique","Local partner-Other","On 22 May 2021, members of the Mozambican Defense and Security Forces in Diaca (Mocimboa da Praia, Cabo Delgado) clashed with members of an Islamist militia. No fatalities and/or injuries reported.",0,1622493898,MOZ
8048129,508,MZM2182,2182,"22 May 2021",2021,1,Battles,"Government regains territory","Military Forces of Mozambique (1990-)","Mueda Communal Militia (Mozambique)",1,"Islamist Militia (Mozambique)",,3,13,"Eastern Africa",Mozambique,"Cabo Delgado",Muidumbe,Muidumbe,Namacande,-11.7878,39.9144,1,"Twitter; Cabo Ligado; Club Mozambique","Local partner-Other","On 22 May 2021, members of the Mozambican Defense and Security Forces and Mueda-based militia in Namacande (Muidumbe, Cabo Delgado) clashed with members of an Islamist militia. Government forces were supported by SA-341 Gazelle and Mi-8 helicopters. The area was reoccupied by the Mozambican forces. No fatalities and/or injuries reported.",0,1622493898,MOZ
8048130,508,MZM2187,2187,"22 May 2021",2021,1,Battles,"Armed clash","Islamist Militia (Mozambique)",,3,"Military Forces of Mozambique (1990-)",,1,13,"Eastern Africa",Mozambique,"Cabo Delgado",Palma,Palma,Palma,-10.7722,40.4756,1,"Lusa; Club Mozambique; Twitter; Zitamar","New media-National","On 22 May 2021, members of an Islamist militia in Palma (Palma, Cabo Delgado) clashed with members of the Mozambican Defense and Security Forces after they attacked civilians. At least 14 civilian houses and a mosque were burnt. At least nine people were killed, including five members of the Islamist militia and four civilians. Different sources report the death of nine civilians and a larger number of insurgents killed.",9,1622493898,MOZ
8048331,508,MZM2185,2185,"22 May 2021",2021,1,Battles,"Armed clash","Islamist Militia (Mozambique)",,3,"Military Forces of Mozambique (1990-)",,1,13,"Eastern Africa",Mozambique,"Cabo Delgado",Muidumbe,Muidumbe,Nangunde,-11.6767,39.84,1,"Cabo Ligado","Local partner-Other","On 22 May 2021, members of the Mozambican Defense and Security Forces in Nangunde (Muidumbe, Cabo Delgado) and Nchinga (coded separately) clashed with members of an Islamist militia. An unknown number of members of the Islamist militia were captured. No fatalities and/or injuries reported.",0,1622493899,MOZ
8048332,508,MZM2188,2188,"22 May 2021",2021,2,Battles,"Armed clash","Islamist Militia (Mozambique)",,3,"Military Forces of Mozambique (1990-)",,1,13,"Eastern Africa",Mozambique,"Cabo Delgado",Palma,Pundanhar,Pundanhar,-10.8947,40.0611,2,"Cabo Ligado","Local partner-Other","Around 22 May 2021 (as reported), members of an Islamist militia clashed with Mozambican Defense and Security Forces near Pundanhar (Palma, Cabo Delgado). Security forces allegedly killed one member of the Islamist militia.",1,1622493899,MOZ
8048334,508,MZM2183,2183,"22 May 2021",2021,1,Riots,"Mob violence","Rioters (Mozambique)","Vigilante Group (Mozambique)",5,"Islamist Militia (Mozambique)",,3,35,"Eastern Africa",Mozambique,"Cabo Delgado",Nangade,Nangade,Nangade,-11.0772,39.6744,2,"Cabo Ligado","Local partner-Other","On 22 May 2021, a group of residents in Chacamba in the district of Nangade (Nangade, Cabo Delgado) killed five members of an Islamist militia after they had earlier been captured by a local militia. One member of the Islamist militia was known to the vigilante group. [size=no report]",5,1622493899,MOZ
